Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
05-06-2020,75.12,75.16,75.81,74.72,142333760
05-07-2020,75.81,75.94,76.29,75.49,115215040
05-08-2020,76.41,77.53,77.59,76.07,134047960
05-11-2020,77.03,78.75,79.26,76.81,145946240
05-12-2020,79.46,77.85,79.92,77.73,162301040
05-13-2020,78.04,76.91,78.99,75.80,200622560
05-14-2020,76.13,77.39,77.45,75.38,158929080
05-15-2020,75.09,76.93,76.98,75.05,166348360
05-18-2020,78.29,78.74,79.13,77.58,135372520
05-19-2020,78.76,78.29,79.63,78.25,101729560
05-20-2020,79.17,79.81,79.88,79.05,111504880
05-21-2020,79.67,79.21,80.22,78.97,102688840
05-22-2020,78.94,79.72,79.81,78.84,81803000
05-26-2020,80.88,79.18,81.06,79.13,125521800
05-27-2020,79.04,79.53,79.68,78.27,112945080
05-28-2020,79.19,79.56,80.86,78.91,133796400
05-29-2020,79.81,79.49,80.29,79.12,153598120
06-01-2020,79.44,80.46,80.59,79.30,81018600
06-02-2020,80.19,80.84,80.86,79.73,87642800
06-03-2020,81.17,81.28,81.55,80.58,104491200
06-04-2020,81.10,80.58,81.41,80.20,87560360
06-05-2020,80.84,82.88,82.94,80.81,137250200
06-08-2020,82.56,83.37,83.40,81.83,95654520
06-09-2020,83.04,86.00,86.40,83.00,147712360
06-10-2020,86.98,88.21,88.69,86.52,166651760
06-11-2020,87.33,83.98,87.77,83.87,201662440
06-12-2020,86.18,84.70,86.95,83.56,200146040
06-15-2020,83.31,85.75,86.42,83.15,138808920
06-16-2020,87.87,88.02,88.30,86.18,165428720
06-17-2020,88.79,87.90,88.85,87.77,114406520
06-18-2020,87.85,87.93,88.36,87.31,96820400
06-19-2020,88.66,87.43,89.14,86.29,264475800
06-22-2020,87.84,89.72,89.87,87.79,135445280
06-23-2020,91.00,91.63,93.10,90.57,212155480
06-24-2020,91.25,90.02,92.20,89.63,192623400
06-25-2020,90.18,91.21,91.25,89.39,137522520
06-26-2020,91.10,88.41,91.33,88.26,205256840
06-29-2020,88.31,90.45,90.54,87.82,130646080
06-30-2020,90.02,91.20,91.50,90.00,140223280
07-01-2020,91.28,91.03,91.84,90.98,110737240
07-02-2020,91.96,91.03,92.62,90.91,114041480
07-06-2020,92.50,93.46,93.95,92.47,118655640
07-07-2020,93.85,93.17,94.66,93.06,112424440
07-08-2020,94.18,95.34,95.38,94.09,117091880
07-09-2020,96.26,95.68,96.32,94.67,125642600
07-10-2020,95.34,95.92,95.98,94.71,90257320
07-13-2020,97.27,95.48,99.96,95.26,191649160
07-14-2020,94.84,97.06,97.26,93.88,170989360
07-15-2020,98.99,97.73,99.25,96.49,153197920
07-16-2020,96.56,96.52,97.41,95.91,110577680
07-17-2020,96.99,96.33,97.15,95.84,92186920
07-20-2020,96.42,98.36,98.50,96.06,90317920
07-21-2020,99.17,97.00,99.25,96.74,103645840
07-22-2020,96.69,97.27,97.98,96.60,89001640
07-23-2020,97.00,92.85,97.08,92.01,197004440
07-24-2020,90.99,92.62,92.97,89.15,185438880
07-27-2020,93.71,94.81,94.91,93.48,121214200
07-28-2020,94.37,93.25,94.55,93.25,103625520
07-29-2020,93.75,95.04,95.23,93.71,90329240
07-30-2020,94.19,96.19,96.30,93.77,158130040
07-31-2020,102.88,106.26,106.42,100.83,374295480
08-03-2020,108.20,108.94,111.64,107.89,308151400
08-04-2020,109.13,109.67,110.79,108.39,172792360
08-05-2020,109.38,110.06,110.39,108.90,121991960
08-06-2020,110.41,113.90,114.41,109.80,202428920
08-07-2020,113.21,111.11,113.68,110.29,198045600
08-10-2020,112.60,112.73,113.78,110.00,212403440
08-11-2020,111.97,109.38,112.48,109.11,187902360
08-12-2020,110.50,113.01,113.28,110.30,165944840
08-13-2020,114.43,115.01,116.04,113.93,210082080
08-14-2020,114.83,114.91,115.00,113.05,165565200
08-17-2020,116.06,114.61,116.09,113.96,119561440
08-18-2020,114.35,115.56,116.00,114.01,105633560
08-19-2020,115.98,115.71,117.16,115.61,145538000
08-20-2020,115.75,118.28,118.39,115.73,126907200
08-21-2020,119.26,124.37,124.87,119.25,338054640
08-24-2020,128.70,125.86,128.79,123.94,345937760
08-25-2020,124.70,124.83,125.18,123.05,211495800
08-26-2020,126.18,126.52,126.99,125.08,163022280
