Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
03-10-2020,158.16,160.92,161.03,152.58,65354390
03-11-2020,157.13,153.63,157.70,151.15,56504300
03-12-2020,145.30,139.06,153.47,138.58,93226370
03-13-2020,147.50,158.83,161.91,140.73,92727450
03-16-2020,140.00,135.42,149.35,135.00,87905870
03-17-2020,140.00,146.57,147.50,135.00,81059820
03-18-2020,138.00,140.40,146.00,135.02,81593170
03-19-2020,142.77,142.71,150.15,139.00,85922660
03-20-2020,146.00,137.35,147.10,135.86,84866220
03-23-2020,137.01,135.98,140.57,132.52,78975180
03-24-2020,143.75,148.34,149.60,141.27,82516730
03-25-2020,148.91,146.92,154.33,144.44,75638220
03-26-2020,148.40,156.11,156.66,148.37,64694430
03-27-2020,151.75,149.70,154.89,149.20,57042290
03-30-2020,152.44,160.23,160.60,150.01,63420330
03-31-2020,159.40,157.71,164.78,156.56,77927190
04-01-2020,153.00,152.11,157.75,150.82,57969930
04-02-2020,151.86,155.26,155.48,150.36,49630740
04-03-2020,155.10,153.83,157.38,152.19,41243280
04-06-2020,160.32,165.27,166.50,157.58,67111700
04-07-2020,169.59,163.49,170.00,163.26,62769040
04-08-2020,165.67,165.13,166.67,163.50,48318230
04-09-2020,166.36,165.14,167.37,163.33,51431780
04-13-2020,164.35,165.51,165.57,162.30,41905260
04-14-2020,169.00,173.70,173.75,168.00,52874340
04-15-2020,171.20,171.88,173.57,169.24,40940830
04-16-2020,174.30,177.04,177.28,172.90,50479610
04-17-2020,179.50,178.60,180.00,175.87,52765630
04-20-2020,176.63,175.06,178.75,174.99,36669560
04-21-2020,173.50,167.82,173.67,166.11,56203750
04-22-2020,171.39,173.52,174.00,170.82,34651600
04-23-2020,174.11,171.42,175.06,170.91,32790800
04-24-2020,172.06,174.55,174.56,170.71,34305320
04-27-2020,176.59,174.05,176.90,173.30,33194380
04-28-2020,175.59,169.81,175.67,169.39,34392690
04-29-2020,173.22,177.43,177.68,171.88,51286560
04-30-2020,180.00,179.21,180.40,176.23,53875860
05-01-2020,175.80,174.57,178.64,174.01,39370470
05-04-2020,174.49,178.84,179.00,173.80,30372860
05-05-2020,180.62,180.76,183.65,179.90,36839170
05-06-2020,182.08,182.54,184.20,181.63,32139300
05-07-2020,184.17,183.60,184.55,182.58,28315990
05-08-2020,184.98,184.68,185.00,183.36,30912640
05-11-2020,183.15,186.74,187.51,182.85,30892660
05-12-2020,186.80,182.51,187.04,182.30,32038200
05-13-2020,182.55,179.75,184.05,176.54,44711490
05-14-2020,177.54,180.53,180.69,175.68,41873910
05-15-2020,179.06,183.16,187.06,177.00,46610380
05-18-2020,185.75,184.91,186.20,183.96,35306620
05-19-2020,185.03,183.63,186.60,183.49,26799120
05-20-2020,184.81,185.66,185.85,183.94,31261330
05-21-2020,185.40,183.43,186.67,183.29,29119510
05-22-2020,183.19,183.51,184.46,182.54,20826900
05-26-2020,186.34,181.57,186.50,181.10,36073610
05-27-2020,180.20,181.81,181.99,176.60,39517150
05-28-2020,180.74,181.40,184.15,180.38,33831820
05-29-2020,182.73,183.25,184.27,180.41,42146720
06-01-2020,182.54,182.83,183.00,181.46,22668820
06-02-2020,184.25,184.91,185.00,181.35,30794590
06-03-2020,184.82,185.36,185.94,183.58,27311020
06-04-2020,184.30,182.92,185.84,182.30,28761810
06-05-2020,182.62,187.20,187.73,182.01,39893640
06-08-2020,185.94,188.36,188.55,184.44,33211590
06-09-2020,188.00,189.80,190.70,187.26,29783920
06-10-2020,191.13,196.84,198.52,191.01,43872330
06-11-2020,193.13,186.27,195.76,186.07,52854670
06-12-2020,190.54,187.74,191.72,185.18,43373590
06-15-2020,184.58,188.94,190.82,184.01,32770190
06-16-2020,192.89,193.57,195.58,191.46,42556660
06-17-2020,195.03,194.24,196.32,193.69,25687820
06-18-2020,194.00,196.32,196.49,194.00,23061650
06-19-2020,198.59,195.15,199.29,194.37,44441140
06-22-2020,195.79,200.57,200.76,195.23,32818930
06-23-2020,202.09,201.91,203.95,201.43,30917450
06-24-2020,201.60,197.84,203.25,196.56,36740650
06-25-2020,197.80,200.34,200.61,195.47,27803930
06-26-2020,199.73,196.33,199.89,194.88,54675780
06-29-2020,195.78,198.44,198.53,193.55,26701590
06-30-2020,197.88,203.51,204.40,197.74,34310280
07-01-2020,203.14,204.70,206.35,201.77,32061210
07-02-2020,205.68,206.26,208.02,205.00,29315760
07-06-2020,208.83,210.70,211.13,208.09,31897630
07-07-2020,210.45,208.25,214.67,207.99,33600730
07-08-2020,210.07,212.83,213.26,208.69,33600030
07-09-2020,216.33,214.32,216.38,211.47,33121680
07-10-2020,213.62,213.67,214.08,211.08,26177630
07-13-2020,214.48,207.07,215.80,206.50,38135610
07-14-2020,206.13,208.35,208.85,202.03,37591820
07-15-2020,209.56,208.04,211.33,205.03,32179410
07-16-2020,205.40,203.92,205.70,202.31,29940650
07-17-2020,204.47,202.88,205.04,201.39,31635280
07-20-2020,205.00,211.60,212.30,203.01,36884840
07-21-2020,213.66,208.75,213.94,208.03,38105780
07-22-2020,209.20,211.75,212.30,208.39,49605690
07-23-2020,207.19,202.54,210.92,202.15,67457040
07-24-2020,200.42,201.30,202.86,197.51,39826990
07-27-2020,201.47,203.85,203.97,200.86,30160870
07-28-2020,203.61,202.02,204.70,201.74,23251390
07-29-2020,202.50,204.06,204.65,202.01,19632600
07-30-2020,201.00,203.90,204.46,199.57,25079600
07-31-2020,204.40,205.01,205.10,199.01,51247970
08-03-2020,211.52,216.54,217.64,210.44,78983010
08-04-2020,214.17,213.29,214.77,210.31,49280060
08-05-2020,214.90,212.94,215.00,211.57,28858620
08-06-2020,212.34,216.35,216.37,211.55,32656840
08-07-2020,214.85,212.48,215.70,210.93,27820420
08-10-2020,211.67,208.25,211.88,206.35,36716460
08-11-2020,207.16,203.38,207.65,203.14,36446460
08-12-2020,205.29,209.19,210.28,204.75,28041360
08-13-2020,209.44,208.70,211.35,208.15,22588870
08-14-2020,208.76,208.90,209.59,207.51,17958940
08-17-2020,209.60,210.28,211.19,208.92,20184760
08-18-2020,210.53,211.49,212.36,209.21,21336170
08-19-2020,211.49,209.70,212.10,209.25,27627560
08-20-2020,209.54,214.58,215.00,208.91,26981480
08-21-2020,213.86,213.02,216.25,212.85,36249320
08-24-2020,214.79,213.69,215.52,212.43,25460150
08-25-2020,213.10,216.47,216.61,213.10,23043700
08-26-2020,217.88,221.15,222.09,217.36,39600830
08-27-2020,222.89,226.58,231.15,219.40,57602200
08-28-2020,228.18,228.91,230.64,226.58,26292900
08-31-2020,227.00,225.53,228.70,224.31,28774160
09-01-2020,225.51,227.27,227.45,224.43,25791240
09-02-2020,227.97,231.65,232.86,227.35,34080840
09-03-2020,229.27,217.30,229.31,214.96,58400290
09-04-2020,215.10,214.25,218.36,205.19,59664070
09-08-2020,206.50,202.66,210.03,202.20,52924330
09-09-2020,207.60,211.29,214.84,206.70,45678990
09-10-2020,213.40,205.37,214.74,204.11,35461510
09-11-2020,207.20,204.03,208.63,201.24,33620070
09-14-2020,204.24,205.41,209.20,204.03,30375770
09-15-2020,208.42,208.78,209.78,206.93,21823940
09-16-2020,210.62,205.05,210.65,204.64,26372460
09-17-2020,200.05,202.91,204.33,199.96,34011260
09-18-2020,202.80,200.39,203.65,196.25,55225330
09-21-2020,197.19,202.54,202.71,196.38,39839660
